DateTime,TSLA,HMC,HYMTF,CVX,TM,F,^GSPC,Sales,prediction_1,prediction_2,prediction_3
2012-01-31,1.937999963760376,27.121070861816406,28.600000381469727,65.39043426513672,64.59703826904297,7.661380767822266,1312.4100341796875,7325.0,7325.0,0.0,7225.25
2012-02-29,2.2273330688476562,30.362855911254883,28.0,69.72550201416016,72.71123504638672,7.636707782745361,1365.6800537109375,7166.0,7166.0,7053.502778132062,7202.0
2012-03-31,2.4826669692993164,30.745609283447266,29.350000381469727,68.50505065917969,76.96305847167969,7.698394298553467,1408.469970703125,7100.0,7100.0,7270.574509293265,7211.5
2012-04-30,2.208667039871216,28.833511352539062,32.75,68.08970642089844,72.49526977539062,6.988283634185791,1397.9100341796875,6985.0,6985.0,7076.041642807349,7158.75
2012-05-31,1.9666670560836792,25.433326721191406,30.0,63.38345718383789,68.16044616699219,6.542224407196045,1310.3299560546875,6976.0,6976.0,6996.47690011645,7140.846153846154
2012-06-30,2.0859999656677246,27.916521072387695,28.700000762939453,68.01909637451172,71.34284973144531,5.941282272338867,1362.1600341796875,7076.0,7076.0,6974.278462082706,7140.846153846154
2012-07-31,1.8279999494552612,25.371337890625,27.75,70.64961242675781,67.8235855102539,5.72444486618042,1379.3199462890625,7158.0,7158.0,7068.964658621699,7161.666666666667
2012-08-31,1.901332974433899,25.685461044311523,30.049999237060547,72.89189910888672,70.58050537109375,5.817880153656006,1406.5799560546875,7084.0,7084.0,7156.097918247947,7195.571428571428
2012-09-30,1.9520000219345093,24.88807487487793,30.5,75.75144958496094,70.18854522705078,6.141788959503174,1440.6700439453125,7035.0,7035.0,7085.872690497272,7161.666666666667
2012-10-31,1.8753329515457153,24.292051315307617,29.5,71.6441421508789,69.25877380371094,6.985269069671631,1412.1600341796875,7127.0,7127.0,7050.73592000503,7202.0
2012-11-30,2.254667043685913,26.82113265991211,32.75,69.27936553955078,76.95619201660156,7.166787147521973,1416.1800537109375,7266.0,7266.0,7078.564294300397,7195.571428571428
2012-12-31,2.257999897003174,29.90986442565918,30.149999618530273,70.88531494140625,83.3662109375,8.105667114257812,1426.18994140625,7030.0,7030.0,7358.484145134355,7202.0
2013-01-31,2.500667095184326,30.51712989807129,31.700000762939453,75.48033905029297,85.26152038574219,8.165355682373047,1498.1099853515625,7154.0,7154.0,10769.830667183418,7279.0
2013-02-28,2.322000026702881,30.31471061706543,33.20000076293945,77.38919067382812,91.72518920898438,7.9509782791137695,1514.6800537109375,7279.0,7279.0,7447.235880512914,7281.5
2013-03-31,2.5260000228881836,31.12398338317871,35.08000183105469,78.4924087524414,92.89664459228516,8.291463851928711,1569.18994140625,7446.0,7446.0,7121.8797628923585,7487.333333333333
2013-04-30,3.5993330478668213,32.52317428588867,34.5,80.59967803955078,105.25994110107422,8.644560813903809,1597.5699462890625,7508.0,7508.0,7161.204343162045,7647.8
2013-05-31,6.517333030700684,30.562665939331055,41.25,81.74247741699219,106.39128875732422,9.959343910217285,1630.739990234375,7715.0,7715.0,7367.630877514865,7694.4
2013-06-30,7.157332897186279,30.465688705444336,40.529998779296875,78.8057632446289,109.2060546875,9.82596206665039,1606.280029296875,7741.0,7741.0,7662.993815326969,7694.4
2013-07-31,8.95199966430664,30.375734329223633,44.099998474121094,83.83349609375,110.32835388183594,10.784677505493164,1685.72998046875,7648.0,7648.0,7840.365457880334,7730.333333333333
2013-08-31,11.266667366027832,29.394283294677734,45.47999954223633,80.86004638671875,109.32371520996094,10.343839645385742,1632.969970703125,7713.0,7713.0,7689.3931873306265,7699.5
2013-09-30,12.891332626342773,31.338388442993164,52.79999923706055,81.57846069335938,116.93147277832031,10.778290748596191,1681.550048828125,7645.0,7645.0,7603.093323160636,7735.0
2013-10-31,10.662667274475098,32.83381652832031,54.47999954223633,80.54448699951172,118.20097351074219,10.994057655334473,1756.5400390625,7631.0,7631.0,7722.972217408884,7748.333333333333
2013-11-30,8.485333442687988,34.80581283569336,59.25,82.89995574951172,114.20980834960938,10.97478199005127,1805.81005859375,7658.0,7658.0,7868.4461941863265,7741.0
2013-12-31,10.028667449951172,34.11739730834961,58.0,84.57231140136719,111.35113525390625,9.914570808410645,1848.3599853515625,7636.0,7636.0,7397.928637155617,7748.333333333333
2014-01-31,12.093999862670898,30.94906234741211,55.29999923706055,75.58084869384766,104.81181335449219,9.68962287902832,1782.5899658203125,7724.0,7724.0,7843.810911522641,7741.0
2014-02-28,16.320667266845703,29.744430541992188,45.0,78.77959442138672,105.30500793457031,9.968133926391602,1859.449951171875,7741.0,7741.0,7889.016127397128,7741.0
2014-03-31,13.896666526794434,29.158620834350586,61.5,81.22504425048828,105.00677490234375,10.104151725769043,1872.3399658203125,7819.0,7819.0,7848.736823808623,7824.761904761905
2014-04-30,13.859333038330078,27.475439071655273,64.0199966430664,85.74019622802734,100.83998107910156,10.542136192321777,1883.949951171875,8096.0,8096.0,7814.599068009094,8096.0
2014-05-31,13.851332664489746,29.026601791381836,70.0,84.59136962890625,105.20209503173828,10.731438636779785,1923.5699462890625,8298.0,8298.0,8047.262763040008,8174.35294117647
2014-06-30,16.003999710083008,29.019651412963867,75.0,89.93728637695312,111.29415130615234,11.253645896911621,1960.22998046875,8103.0,8103.0,8271.943521393763,8289.285714285714
2014-07-31,14.886667251586914,28.928415298461914,78.80000305175781,89.03483581542969,109.74089813232422,11.189644813537598,1930.6700439453125,8415.0,8415.0,8219.70653551986,8289.285714285714
